Date	open	high	low	close	volume	MarketCap
Oct 12, 2016	NT$373.27	NT$382.37	NT$370.81	NT$377.98	NT$307,068,027	NT$32,093,627,188
Oct 11, 2016	NT$369.28	NT$381.79	NT$368.93	NT$370.01	NT$368,191,142	NT$31,404,693,561
Oct 10, 2016	NT$379.37	NT$379.42	NT$365.63	NT$369.77	NT$340,003,386	NT$31,372,081,316
Oct 09, 2016	NT$384.12	NT$388.57	NT$376.70	NT$379.03	NT$226,670,654	NT$32,145,094,054
Oct 08, 2016	NT$398.53	NT$398.94	NT$378.77	NT$384.23	NT$365,114,184	NT$32,573,348,099
Oct 07, 2016	NT$403.41	NT$407.76	NT$393.46	NT$397.62	NT$280,408,440	NT$33,694,191,568
Oct 06, 2016	NT$409.34	NT$413.02	NT$398.67	NT$403.93	NT$378,495,795	NT$34,214,417,203
Oct 05, 2016	NT$418.35	NT$420.34	NT$410.55	NT$410.55	NT$311,203,867	NT$34,761,080,466
Oct 04, 2016	NT$421.26	NT$423.78	NT$413.77	NT$415.82	NT$261,459,781	NT$35,194,033,108
Oct 03, 2016	NT$413.49	NT$422.33	NT$413.00	NT$421.30	NT$233,579,666	NT$35,644,339,146
Oct 02, 2016	NT$412.61	NT$416.23	NT$411.44	NT$413.22	NT$127,713,756	NT$34,946,495,110
Oct 01, 2016	NT$413.33	NT$416.64	NT$408.39	NT$412.37	NT$198,196,964	NT$34,860,263,685
Sep 30, 2016	NT$410.30	NT$418.67	NT$408.68	NT$414.97	NT$186,725,458	NT$35,065,460,609
Sep 29, 2016	NT$416.08	NT$417.94	NT$409.71	NT$409.71	NT$187,740,354	NT$34,607,972,445
Sep 28, 2016	NT$410.84	NT$422.64	NT$410.02	NT$416.09	NT$320,931,216	NT$35,133,284,027
Sep 27, 2016	NT$404.43	NT$415.35	NT$404.18	NT$411.80	NT$214,762,010	NT$34,757,873,218
Sep 26, 2016	NT$412.71	NT$412.71	NT$399.25	NT$401.85	NT$226,043,188	NT$33,904,109,288
Sep 25, 2016	NT$402.36	NT$410.34	NT$400.64	NT$410.14	NT$165,403,373	NT$34,590,048,024
Sep 24, 2016	NT$417.07	NT$417.72	NT$397.01	NT$403.16	NT$307,577,693	NT$33,987,390,859
Sep 23, 2016	NT$414.32	NT$421.82	NT$410.98	NT$418.19	NT$287,541,743	NT$35,240,901,322
Sep 22, 2016	NT$425.62	NT$425.62	NT$388.67	NT$412.62	NT$852,892,072	NT$34,757,651,684
Sep 21, 2016	NT$452.58	NT$452.58	NT$412.95	NT$431.71	NT$898,163,975	NT$36,351,917,871
Sep 20, 2016	NT$414.64	NT$452.81	NT$411.69	NT$452.81	NT$1,001,903,229	NT$38,113,867,872
Sep 19, 2016	NT$394.01	NT$417.87	NT$393.42	NT$417.87	NT$438,454,700	NT$35,159,189,284
Sep 18, 2016	NT$402.03	NT$411.57	NT$385.21	NT$393.94	NT$710,911,277	NT$33,130,716,674
Sep 17, 2016	NT$397.97	NT$404.46	NT$394.30	NT$402.42	NT$235,983,071	NT$33,833,674,260
Sep 16, 2016	NT$379.01	NT$404.02	NT$377.21	NT$397.91	NT$552,104,757	NT$33,441,467,808
Sep 15, 2016	NT$378.35	NT$384.44	NT$377.70	NT$378.15	NT$231,544,662	NT$31,769,121,845
Sep 14, 2016	NT$378.02	NT$380.96	NT$376.47	NT$378.61	NT$180,833,314	NT$31,795,321,683
Sep 13, 2016	NT$376.59	NT$382.82	NT$376.34	NT$377.54	NT$370,745,407	NT$31,692,976,247
Sep 12, 2016	NT$366.52	NT$376.09	NT$365.60	NT$374.41	NT$235,409,958	NT$31,418,859,866
Sep 11, 2016	NT$384.30	NT$384.30	NT$364.84	NT$366.38	NT$276,746,346	NT$30,732,644,522
Sep 10, 2016	NT$368.81	NT$386.29	NT$365.06	NT$384.82	NT$228,334,767	NT$32,266,971,936
Sep 09, 2016	NT$356.86	NT$365.22	NT$356.06	NT$364.37	NT$191,028,575	NT$30,541,011,522
Sep 08, 2016	NT$360.97	NT$365.83	NT$351.80	NT$354.72	NT$360,630,240	NT$29,720,487,377
Sep 07, 2016	NT$364.28	NT$365.27	NT$358.69	NT$359.72	NT$190,483,808	NT$30,127,849,572
Sep 06, 2016	NT$369.21	NT$369.30	NT$361.26	NT$368.07	NT$199,833,239	NT$30,815,266,369
Sep 05, 2016	NT$369.90	NT$373.89	NT$367.16	NT$371.05	NT$181,270,799	NT$31,053,625,544
Sep 04, 2016	NT$371.66	NT$372.91	NT$362.80	NT$369.32	NT$228,313,791	NT$30,896,487,831
Sep 03, 2016	NT$383.01	NT$390.94	NT$358.80	NT$371.81	NT$422,405,256	NT$31,093,094,632
Sep 02, 2016	NT$379.60	NT$390.68	NT$377.00	NT$384.32	NT$297,237,422	NT$32,127,248,343
Sep 01, 2016	NT$370.23	NT$399.14	NT$369.54	NT$380.53	NT$763,009,786	NT$31,797,685,143
Aug 31, 2016	NT$356.47	NT$370.47	NT$354.73	NT$370.23	NT$351,235,617	NT$30,925,148,938
Aug 30, 2016	NT$348.99	NT$358.88	NT$347.93	NT$356.51	NT$229,267,784	NT$29,767,753,283
Aug 29, 2016	NT$345.94	NT$353.27	NT$341.97	NT$348.12	NT$257,689,335	NT$29,056,462,101
Aug 28, 2016	NT$353.98	NT$353.98	NT$346.78	NT$347.07	NT$168,403,338	NT$28,957,764,202
Aug 27, 2016	NT$358.65	NT$358.65	NT$353.75	NT$354.02	NT$479,782,350	NT$29,526,399,999
Aug 26, 2016	NT$359.41	NT$362.35	NT$354.94	NT$357.60	NT$185,453,673	NT$29,813,341,291
Aug 25, 2016	NT$350.27	NT$361.50	NT$349.81	NT$360.62	NT$271,555,170	NT$30,053,550,264
Aug 24, 2016	NT$350.23	NT$354.37	NT$349.76	NT$350.60	NT$140,527,630	NT$29,207,432,983
Aug 23, 2016	NT$354.20	NT$357.16	NT$346.60	NT$350.82	NT$206,388,242	NT$29,213,988,285
Aug 22, 2016	NT$353.47	NT$358.39	NT$349.99	NT$351.44	NT$208,223,050	NT$29,254,769,270
Aug 21, 2016	NT$355.60	NT$355.62	NT$347.41	NT$353.26	NT$137,638,856	NT$29,394,859,131
Aug 20, 2016	NT$339.70	NT$357.10	NT$339.67	NT$355.42	NT$235,215,864	NT$29,562,555,479
Aug 19, 2016	NT$337.58	NT$339.31	NT$337.01	NT$337.66	NT$169,348,162	NT$28,074,612,453
Aug 18, 2016	NT$337.92	NT$346.15	NT$337.84	NT$338.19	NT$218,075,424	NT$28,108,208,497
Aug 17, 2016	NT$348.57	NT$349.25	NT$336.53	NT$336.66	NT$276,576,192	NT$27,969,677,744
Aug 16, 2016	NT$352.31	NT$352.58	NT$345.22	NT$349.52	NT$221,248,178	NT$29,026,901,954
Aug 15, 2016	NT$351.83	NT$355.26	NT$345.50	NT$352.36	NT$235,593,884	NT$29,251,421,225
Aug 14, 2016	NT$363.55	NT$367.05	NT$348.36	NT$351.36	NT$272,435,502	NT$29,157,143,351
Aug 13, 2016	NT$369.43	NT$370.08	NT$361.31	NT$363.18	NT$236,634,433	NT$30,126,140,398
Aug 12, 2016	NT$365.73	NT$376.77	NT$364.05	NT$368.54	NT$428,349,539	NT$30,559,036,718
Aug 11, 2016	NT$377.01	NT$381.18	NT$361.35	NT$363.12	NT$543,705,300	NT$30,098,094,501
Aug 10, 2016	NT$382.69	NT$389.83	NT$374.96	NT$379.99	NT$879,189,420	NT$31,483,829,907
Aug 09, 2016	NT$354.61	NT$391.72	NT$352.26	NT$385.11	NT$1,152,923,383	NT$31,895,884,713
Aug 08, 2016	NT$343.83	NT$356.91	NT$342.11	NT$354.29	NT$471,210,834	NT$29,331,576,709
Aug 07, 2016	NT$342.64	NT$349.91	NT$340.14	NT$344.29	NT$522,233,703	NT$28,493,207,683
Aug 06, 2016	NT$344.45	NT$345.11	NT$324.55	NT$343.33	NT$527,332,668	NT$28,402,486,209
Aug 05, 2016	NT$348.95	NT$353.93	NT$340.85	NT$345.99	NT$490,470,817	NT$28,611,133,393
Aug 04, 2016	NT$326.90	NT$357.98	NT$322.00	NT$350.10	NT$1,209,551,986	NT$28,940,144,660
Aug 03, 2016	NT$280.90	NT$329.67	NT$280.90	NT$325.74	NT$1,708,124,134	NT$26,915,710,721
Aug 02, 2016	NT$345.20	NT$351.14	NT$258.57	NT$277.05	NT$2,799,879,120	NT$22,884,050,385
Aug 01, 2016	NT$378.37	NT$382.16	NT$348.05	NT$348.05	NT$763,424,095	NT$28,737,424,614
Jul 31, 2016	NT$395.81	NT$398.04	NT$367.41	NT$377.87	NT$809,494,465	NT$31,187,205,970
Jul 30, 2016	NT$407.19	NT$407.31	NT$396.48	NT$396.48	NT$287,883,219	NT$32,710,954,955
Jul 29, 2016	NT$409.92	NT$411.01	NT$400.91	NT$408.58	NT$449,704,168	NT$33,696,195,190
Jul 28, 2016	NT$415.31	NT$415.60	NT$399.74	NT$410.97	NT$787,275,592	NT$33,879,914,651
Jul 27, 2016	NT$386.51	NT$426.97	NT$379.62	NT$416.09	NT$1,869,234,231	NT$34,288,534,171
Jul 26, 2016	NT$444.17	NT$445.30	NT$377.02	NT$385.45	NT$3,035,791,491	NT$31,750,989,331
Jul 25, 2016	NT$408.41	NT$444.10	NT$406.50	NT$443.43	NT$1,175,358,616	NT$36,513,581,065
Jul 24, 2016	NT$457.21	NT$461.74	NT$393.89	NT$407.75	NT$2,486,626,086	NT$33,562,663,627
Jul 23, 2016	NT$469.03	NT$476.50	NT$449.34	NT$457.33	NT$1,039,085,585	NT$37,629,109,380
Jul 22, 2016	NT$404.84	NT$473.79	NT$401.08	NT$468.95	NT$2,391,747,656	NT$38,569,452,914
Jul 21, 2016	NT$399.02	NT$407.03	NT$384.09	NT$405.13	NT$788,972,086	NT$33,307,588,862
Jul 20, 2016	NT$370.70	NT$415.52	NT$369.96	NT$398.22	NT$1,926,271,582	NT$32,726,752,391
Jul 19, 2016	NT$352.99	NT$383.90	NT$351.83	NT$371.29	NT$694,382,150	NT$30,501,585,250
Jul 18, 2016	NT$356.17	NT$370.11	NT$349.01	NT$351.75	NT$507,877,108	NT$28,885,709,285
Jul 17, 2016	NT$370.79	NT$372.28	NT$351.14	NT$355.96	NT$571,699,040	NT$29,219,681,465
Jul 16, 2016	NT$380.23	NT$380.76	NT$369.80	NT$371.72	NT$333,217,830	NT$30,501,694,058
Jul 15, 2016	NT$367.86	NT$397.68	NT$367.57	NT$382.33	NT$858,576,411	NT$31,359,782,043
Jul 14, 2016	NT$340.32	NT$375.16	NT$340.32	NT$369.75	NT$758,617,319	NT$30,315,710,450
Jul 13, 2016	NT$337.89	NT$340.56	NT$334.59	NT$337.70	NT$215,975,626	NT$27,677,144,280
Jul 12, 2016	NT$336.71	NT$346.86	NT$336.02	NT$338.93	NT$358,645,771	NT$27,767,702,890
Jul 11, 2016	NT$352.02	NT$354.21	NT$330.11	NT$336.51	NT$421,415,052	NT$27,558,254,700
Jul 10, 2016	NT$353.49	NT$355.21	NT$347.75	NT$353.08	NT$176,716,448	NT$28,904,302,173
Jul 09, 2016	NT$368.24	NT$369.50	NT$346.05	NT$353.66	NT$556,501,810	NT$28,940,252,130
Jul 08, 2016	NT$326.88	NT$372.42	NT$321.90	NT$368.22	NT$647,586,137	NT$30,119,418,591
Jul 07, 2016	NT$341.31	NT$342.28	NT$317.57	NT$327.49	NT$499,116,244	NT$26,777,940,003
Jul 06, 2016	NT$342.34	NT$359.49	NT$332.79	NT$340.82	NT$587,104,401	NT$27,856,698,497
Jul 05, 2016	NT$368.81	NT$370.76	NT$308.26	NT$341.58	NT$1,465,510,911	NT$27,907,818,366
Jul 04, 2016	NT$376.91	NT$382.84	NT$367.03	NT$369.65	NT$417,104,288	NT$30,189,682,198
Jul 03, 2016	NT$390.52	NT$391.31	NT$373.39	NT$377.61	NT$341,157,325	NT$30,827,654,260
Jul 02, 2016	NT$393.59	NT$393.75	NT$385.02	NT$390.76	NT$289,554,408	NT$31,888,810,093
Jul 01, 2016	NT$400.83	NT$402.54	NT$378.12	NT$393.14	NT$555,463,449	NT$32,070,167,644
Jun 30, 2016	NT$406.57	NT$411.05	NT$395.30	NT$402.01	NT$509,749,938	NT$32,780,372,091
Jun 29, 2016	NT$394.18	NT$422.14	NT$378.35	NT$408.33	NT$873,649,098	NT$33,282,451,579
Jun 28, 2016	NT$453.02	NT$454.78	NT$381.15	NT$396.04	NT$1,412,862,288	NT$32,268,087,511
Jun 27, 2016	NT$446.97	NT$457.10	NT$445.06	NT$449.42	NT$355,898,439	NT$36,603,438,482
Jun 26, 2016	NT$462.77	NT$466.43	NT$443.15	NT$449.44	NT$478,559,620	NT$36,590,394,133
Jun 25, 2016	NT$464.13	NT$473.18	NT$454.85	NT$463.48	NT$499,181,595	NT$37,718,832,159
Jun 24, 2016	NT$436.87	NT$465.13	NT$422.10	NT$457.62	NT$1,064,319,497	NT$37,227,469,267
Jun 23, 2016	NT$425.54	NT$444.07	NT$404.56	NT$440.37	NT$991,966,080	NT$35,809,995,616
Jun 22, 2016	NT$425.40	NT$508.74	NT$422.03	NT$422.03	NT$3,125,925,726	NT$34,304,819,402
Jun 21, 2016	NT$381.01	NT$432.61	NT$363.99	NT$428.94	NT$2,232,131,916	NT$34,852,691,764
Jun 20, 2016	NT$396.11	NT$402.95	NT$340.68	NT$383.24	NT$1,882,108,332	NT$31,127,443,040
Jun 19, 2016	NT$361.05	NT$426.19	NT$343.86	NT$395.54	NT$2,256,173,572	NT$32,113,854,471
Jun 18, 2016	NT$497.21	NT$497.21	NT$322.13	NT$366.33	NT$4,330,317,147	NT$29,730,072,072
Jun 17, 2016	NT$668.68	NT$696.91	NT$439.32	NT$497.90	NT$6,456,831,040	NT$40,390,224,684
Jun 16, 2016	NT$594.99	NT$674.92	NT$594.99	NT$667.11	NT$1,248,481,462	NT$54,094,829,556
Jun 15, 2016	NT$613.10	NT$613.10	NT$574.32	NT$595.23	NT$628,927,962	NT$48,247,099,294
Jun 14, 2016	NT$570.06	NT$623.81	NT$559.89	NT$611.50	NT$2,084,765,265	NT$49,546,162,726
Jun 13, 2016	NT$509.52	NT$570.00	NT$507.82	NT$568.66	NT$1,228,345,937	NT$46,056,625,437
Jun 12, 2016	NT$457.75	NT$513.05	NT$457.75	NT$508.00	NT$1,232,931,750	NT$41,127,831,082
Jun 11, 2016	NT$448.80	NT$457.92	NT$442.71	NT$457.92	NT$392,899,126	NT$37,058,482,303
Jun 10, 2016	NT$463.12	NT$464.92	NT$445.23	NT$448.07	NT$364,445,074	NT$36,246,440,706
Jun 09, 2016	NT$464.39	NT$468.79	NT$461.48	NT$463.36	NT$265,713,046	NT$37,469,341,215
Jun 08, 2016	NT$466.60	NT$475.34	NT$459.12	NT$463.70	NT$544,882,172	NT$37,481,961,976
Jun 07, 2016	NT$450.57	NT$468.88	NT$446.35	NT$468.88	NT$692,131,896	NT$37,885,578,363
Jun 06, 2016	NT$454.67	NT$456.55	NT$446.04	NT$452.51	NT$283,194,990	NT$36,548,209,893
Jun 05, 2016	NT$446.32	NT$456.36	NT$440.00	NT$453.21	NT$359,596,812	NT$36,590,012,464
Jun 04, 2016	NT$447.00	NT$449.61	NT$432.73	NT$443.00	NT$509,162,768	NT$35,752,119,908
Jun 03, 2016	NT$447.80	NT$452.06	NT$431.88	NT$451.18	NT$748,829,196	NT$36,397,497,082
Jun 02, 2016	NT$456.28	NT$458.13	NT$444.46	NT$448.01	NT$341,671,969	NT$36,127,237,485
Jun 01, 2016	NT$459.99	NT$466.70	NT$438.12	NT$456.46	NT$732,586,851	NT$36,794,182,357
May 31, 2016	NT$415.73	NT$465.44	NT$412.43	NT$459.24	NT$1,384,304,808	NT$37,003,581,665
May 30, 2016	NT$401.25	NT$419.33	NT$399.31	NT$414.27	NT$479,658,859	NT$33,366,933,226
May 29, 2016	NT$394.31	NT$413.15	NT$383.39	NT$402.07	NT$931,020,912	NT$32,371,043,642
May 28, 2016	NT$368.95	NT$402.49	NT$337.71	NT$387.17	NT$1,539,031,114	NT$31,159,516,583
May 27, 2016	NT$402.26	NT$402.26	NT$341.00	NT$366.75	NT$1,866,793,115	NT$29,504,180,404
May 26, 2016	NT$408.21	NT$423.56	NT$393.31	NT$405.42	NT$677,217,860	NT$32,601,618,117
May 25, 2016	NT$417.95	NT$421.39	NT$384.41	NT$409.22	NT$896,618,349	NT$32,894,624,670
May 24, 2016	NT$434.82	NT$450.14	NT$392.62	NT$416.09	NT$1,358,200,408	NT$33,433,159,829
May 23, 2016	NT$467.02	NT$473.97	NT$431.45	NT$440.26	NT$779,778,774	NT$35,360,886,291
May 22, 2016	NT$459.03	NT$469.03	NT$450.05	NT$467.06	NT$586,476,458	NT$37,498,200,260
May 21, 2016	NT$447.56	NT$459.38	NT$428.90	NT$458.19	NT$805,830,141	NT$36,771,829,685
May 20, 2016	NT$486.52	NT$492.90	NT$438.40	NT$446.63	NT$1,655,571,996	NT$35,830,020,825
May 19, 2016	NT$443.47	NT$487.02	NT$436.75	NT$483.65	NT$1,760,343,095	NT$38,783,896,264
May 18, 2016	NT$397.18	NT$465.00	NT$397.18	NT$442.16	NT$2,132,430,029	NT$35,442,774,681
May 17, 2016	NT$365.23	NT$407.45	NT$363.91	NT$398.05	NT$1,213,793,581	NT$31,893,865,113
May 16, 2016	NT$325.93	NT$374.04	NT$325.93	NT$365.25	NT$950,767,331	NT$29,253,883,684
May 15, 2016	NT$334.47	NT$341.20	NT$324.28	NT$325.45	NT$301,146,691	NT$26,056,254,310
May 14, 2016	NT$343.18	NT$346.77	NT$320.41	NT$334.51	NT$614,419,744	NT$26,771,008,764
May 13, 2016	NT$327.76	NT$360.02	NT$326.33	NT$342.23	NT$1,018,782,464	NT$27,378,093,011
