Date,tic,open,high,low,close,volume,macd,rsi,cci,adx
20200620,Monero,1892.42,1916.91,1876.05,1892.6,1903720789,-7.381742388609155,49.57132572212555,-86.1423991015893,32.22482203369158
20200621,Bitcoin,276187.96,278265.26,275285.3,275380.0,453587055156,-650.9174395942828,51.24992528014912,-60.062152827050824,17.234478507363512
20200621,Ethereum,6784.61,6877.64,6763.21,6777.92,165767601729,51.24029092918681,53.057039478689035,-15.476017667008986,15.292488126526068
20200621,Monero,1892.43,1928.06,1888.15,1910.6,1787565584,-9.048246628740799,50.22782671631494,-70.14851058533364,28.84066631359981
20200622,Bitcoin,275297.8,285780.51,275178.1,285592.39,624657577604,-130.33207981707528,54.087532294001214,0.39804027789799656,1.7232663371398165
20200622,Ethereum,6778.27,7215.53,6776.24,7178.74,268746682365,70.12860381192331,56.73951145997975,35.95117956321615,7.845292647337993
20200622,Monero,1911.56,1962.83,1904.23,1951.44,2443587365,-6.99290668435674,51.70356517379173,-27.579598245362888,18.71257534632818
20200623,Bitcoin,285455.97,286239.3,282589.92,285029.22,503375119062,234.09396650199778,53.908525385346074,22.637292016178325,0.8524808641346889
20200623,Ethereum,7178.88,7247.77,7096.67,7226.39,196080136230,87.92909277917443,57.15287054327065,64.34337496764294,9.69380194337565
20200623,Monero,1951.88,1991.24,1930.22,1981.59,2531234443,-2.8977781617268192,52.77296067047792,9.201310990128462,11.085430852905535
20200624,Bitcoin,284652.16,286077.1,274193.13,275238.6,560362303019,-264.0729085073108,50.88011551230041,-56.049624212260916,15.07536330684142
20200624,Ethereum,7216.26,7343.98,6880.0,6967.62,260504402983,80.23068279307063,54.24121654532704,27.512007960801743,4.1224011848891875
20200624,Monero,1979.44,1994.18,1900.64,1916.98,2147695574,-4.810395095145395,50.30374362677505,-45.94369630488948,17.019236348325684
20200625,Bitcoin,275074.11,275842.99,268612.22,273617.72,549787764075,-780.6661819930887,50.39526168146091,-135.13792924944372,22.930335634841718
20200625,Ethereum,6961.01,6971.37,6801.35,6879.55,207038914676,66.25932815674332,53.28545895647477,-37.135131877252945,8.589899981256396
20200625,Monero,1917.16,1922.17,1877.43,1901.38,2009616882,-7.498509272665615,49.722644610821284,-114.37618208525919,21.417937607101738
20200626,Bitcoin,273329.02,274790.6,268628.73,270434.37,541330059384,-1430.4504711116897,49.4381086605724,-152.0333295867009,22.930335634841718
20200626,Ethereum,6873.15,6903.38,6766.36,6778.42,212131600891,46.49066765071166,52.19299819622839,-75.86124783721581,10.571572116987875
20200626,Monero,1899.25,1907.99,1867.98,1888.36,1860997366,-10.557761015478718,49.23161961634561,-130.64884156606277,23.1900245698837
20200627,Bitcoin,270785.44,271966.51,265775.83,267169.19,510186715660,-2183.709495679126,48.46146926110166,-169.40136622026108,26.880827324312335
20200627,Ethereum,6782.51,6867.04,6514.71,6585.45,204344759076,15.078974460507197,50.16291899133582,-144.39411719065396,23.347201937087426
20200627,Monero,1889.35,1905.25,1803.6,1841.18,1804086647,-16.59794103032641,47.474193075922486,-174.3118624817122,34.024912903711694
20200628,Bitcoin,267259.86,271663.35,265105.62,270069.42,430077159209,-2517.626742896624,49.38031041838266,-146.56605278100983,27.810076779660324
20200628,Ethereum,6584.11,6751.99,6482.45,6655.97,183301324975,-4.077639571253712,50.885122454011906,-155.0055217507349,24.81899241713507
20200628,Monero,1841.18,1884.01,1834.36,1870.1,1597396785,-18.834116927653668,48.636841450723665,-141.17366680879343,34.024912903711694
20200629,Bitcoin,269969.04,272850.19,267069.9,271470.27,486195179044,-2638.8031987747527,49.82726014414817,-120.61992059178753,24.80755012089956
20200629,Ethereum,6656.5,6790.65,6564.75,6740.19,198670725363,-12.321509373103254,51.74897516635464,-116.20638010896329,21.822543877644527
20200629,Monero,1873.74,1914.68,1847.99,1895.84,1881872076,-18.318139446327223,49.662726857574754,-100.11596653044671,24.467241940079198
20200630,Bitcoin,270341.77,271291.06,267376.77,268941.21,463121852719,-2905.4185622259974,49.01892083543147,-123.87984312200162,24.807550120899567
20200630,Ethereum,6709.36,6753.76,6616.56,6660.7,179355866627,-24.98104828483065,50.87529180388623,-113.3054103025427,21.822543877644534
20200630,Monero,1888.54,1906.59,1864.05,1869.96,1894951601,-19.769631283506214,48.652015941927274,-102.00090826296416,24.467241940079205
20200701,Bitcoin,269079.45,273897.64,267865.85,271501.95,469890997226,-2876.919504391786,49.870740362077186,-100.38619292214788,17.85905122807369
