,0
340,893215.9263385746
341,876408.5666585747
342,877795.0039685746
343,852609.9239685746
344,916554.6996985746
345,914926.4050911407
346,932431.8976203518
347,924228.6176203517
348,887212.4976203517
349,886850.8176203517
350,919724.1849003518
351,958499.9966603518
352,975294.3166603519
353,978727.7938603518
354,992525.1238203519
355,1006425.9938203518
356,1002399.8657403518
357,1128728.3267603517
358,1102272.5250703518
359,1125142.2459503517
360,1145419.7609612145
361,1134488.5882299803
362,1136305.3082299803
363,1143502.6682299804
364,1174147.3396299805
365,1269817.7396299802
366,1252605.1517199804
367,1220268.8617199801
368,1120182.5265799803
369,1101646.0065799803
370,1100618.7800599802
371,1155995.1980599803
372,1210151.5447330333
373,1162110.5702684824
374,1170387.8502684827
375,1205598.4902684828
376,1212291.8102684827
377,1211555.8102684827
378,1186514.5302684829
379,1132560.3702684827
380,1144398.2902684826
381,1155029.8755584827
382,1102620.9979484829
383,1116961.8779484828
384,1115845.593388483
385,1151955.7218084831
386,1197935.4919684832
387,1182581.048924732
388,1209408.029961838
389,1180333.768022739
390,1267780.908502739
391,1189325.030722739
392,1202923.270722739
393,1220093.8063627388
394,1203791.577822739
395,1195772.617822739
396,1209804.457822739
397,1211447.027122739
398,1211950.3871227389
399,1223451.274882739
400,1148355.067942739
401,1171252.609462739
402,1168851.889462739
403,1158359.409462739
404,1165179.169882739
405,1175816.953822739
406,1168808.934362739
407,1158808.104382739
408,1142344.8771693257
409,1148399.9142927541
410,1145305.6599357561
411,1188478.4615905387
412,1186182.7091505385
413,1147020.2291505386
414,1140536.7091505385
415,1127803.3091505386
416,1114193.1224062287
417,1126469.9127836206
418,1132696.1689096813
419,1122534.0534023761
420,1133174.5410648803
421,1121258.004929156
422,1116506.1564391563
423,1122849.826439156
424,1115906.277319156
425,1153092.916069156
426,1136788.925069156
427,1159991.7650691562
428,1137433.165069156
429,1141558.7520091562
430,1138252.3783091563
431,1142466.669989156
432,1138099.2046291563
433,1136175.124979156
434,1127818.1960391563
435,1121723.304219156
436,1119977.7642191562
437,1124166.7482591562
438,1127323.1082591563
439,1125070.8483991562
440,1149596.7137991562
441,1166665.3406491561
442,1175120.8706491562
443,1169834.5406091562
444,1188429.3367091562
445,1215259.676169156
446,1343284.8361691562
447,1332730.3846013197
448,1353063.9463855992
449,1362587.704449671
450,1391140.0804302788
451,1436488.856128986
452,1364630.1189215495
453,1366988.9524312324
454,1369328.7427593158
455,1420015.7040651266
456,1428510.7531749464
457,1400200.3149513712
458,1417981.7282435154
459,1407614.9595627
460,1431650.3167497108
461,1370415.436749711
462,1392219.7550097106
463,1415514.9950097108
464,1415262.0350097108
465,1428480.7150097108
466,1431636.6651297107
467,1473975.9851297105
468,1441140.3451297106
469,1414142.1451297107
470,1432210.7817697106
471,1394758.3795397107
472,1408960.0433097107
473,1407551.2521297107
474,1420288.697709711
475,1365542.263229711
476,1380021.5478297109
477,1360139.427829711
478,1392110.151109711
479,1385818.348869711
480,1410981.3802697111
481,1407219.039149711
482,1440041.599149711
483,1374634.079149711
484,1232128.665379711
485,1264410.975379711
486,1226088.136519711
487,1239544.6707092
488,1250409.495782297
489,1220057.6357822972
490,1231668.5157822974
491,1229285.310703189
492,1232439.9152806487
493,1238191.9628406488
494,1224303.819540649
495,1266149.499540649
496,1278201.859540649
497,1296518.2976206488
498,1295222.907600649
499,1291285.398680649
500,1303979.132080649
501,1285848.040380649
502,1229000.363580649
503,1237202.2264306492
504,1205315.4516906491
505,1271685.9239006492
506,1267205.2710106492
507,1273491.203690649
508,1276364.763690649
509,1268316.0022906493
510,1277676.002190649
511,1267026.5936706492
