,datadate,tic,adjcp,open,high,low,volume,macd,rsi,cci,adx,turbulence
4519,20190921,Ethereum,6681.22,6755.04,6849.93,6665.22,2.40E+11,198.5000595,54.09544332,180.0943648,43.23286108,0
4520,20190921,Monero,2257.71,2294.01,2294.5,2246.69,2528738489,-35.97199485,45.14121062,-61.38417033,0.818484705,0
4521,20190922,Bitcoin,312192.38,310757.75,312318,307608.61,4.09E+11,-2709.314631,47.87724782,-72.89710676,21.40592322,0
4522,20190922,Ethereum,6558.12,6680.3,6698.89,6437.2,2.42E+11,207.2497248,52.75404603,136.2106968,26.43916901,0
4523,20190922,Monero,2268.92,2257.64,2297.48,2215.14,2252680809,-38.83855413,45.4141833,-62.59048954,3.305977633,0
4524,20190923,Bitcoin,301609.38,312107.19,312301.74,301541.79,4.69E+11,-3688.792411,45.30432745,-118.2158041,28.89720006,0
4525,20190923,Ethereum,6259.57,6563.12,6567.06,6258.51,2.32E+11,187.927101,49.66429628,93.18664127,15.13113021,0
4526,20190923,Monero,2130.32,2268.48,2268.85,2130.32,2557809434,-51.69823957,42.69681019,-126.21376,13.47818905,0
4527,20190924,Bitcoin,267047.83,301394.83,303718.05,259310.61,7.75E+11,-7171.198735,38.34301536,-315.1207506,58.40126904,0
4528,20190924,Ethereum,5207.73,6252.66,6304.04,5040.98,3.64E+11,86.73920945,40.92772541,-53.1002168,30.28277617,0
4529,20190924,Monero,1834.41,2128.33,2178.37,1816.45,2963509866,-84.78969409,37.71292884,-287.6890089,38.90271641,0
4530,20190925,Bitcoin,262909.99,266516.94,270897.22,257904.05,6.74E+11,-10147.9408,37.62694756,-324.9800593,59.00688165,0
4531,20190925,Ethereum,5293.91,5208.44,5412.47,5108.69,3.03E+11,13.34722364,41.79555201,-90.61692863,30.28277617,0
4532,20190925,Monero,1854.47,1831.92,1899.05,1792.96,3131032053,-108.1495551,38.21866511,-300.1976286,40.30602976,0
4533,20190926,Bitcoin,251980.88,263423.94,264293.44,245049.35,5.98E+11,-13236.3379,35.80016335,-304.8615022,64.1112349,0
4534,20190926,Ethereum,5174.56,5299.62,5328.67,4876.71,2.44E+11,-53.82652278,40.93401721,-108.5644375,35.79659414,0
4535,20190926,Monero,1786.87,1858.15,1868.5,1715.1,4195141490,-130.6115595,37.16665789,-275.8485775,44.79843786,0
4536,20190927,Bitcoin,255352.99,251059.54,255961.84,246505.12,5.08E+11,-15236.18056,36.77984286,-248.5105869,64.1112349,0
4537,20190927,Ethereum,5406.42,5157.03,5434.27,5050.51,2.45E+11,-87.3461643,43.28353416,-77.28388984,30.76415958,0
4538,20190927,Monero,1796.1,1780.64,1809.9,1729.13,4454160689,-145.985249,37.41000511,-229.6569398,44.79843786,0
4539,20190928,Bitcoin,256027.42,256193.79,257260.11,252286.53,4.39E+11,-16575.57648,36.97881628,-202.6711464,61.78634655,0
4540,20190928,Ethereum,5420.31,5423.67,5457.75,5302.36,2.14E+11,-111.5045596,43.42300413,-61.71133002,29.62241948,0
4541,20190928,Monero,1800.21,1801.85,1809.36,1758.83,3076261409,-156.0386495,37.52146803,-192.7611768,44.79843786,0
4542,20190929,Bitcoin,251626.86,256031.21,256517.75,248096.95,4.05E+11,-17787.10712,36.20958426,-185.2005304,63.56679861,0
4543,20190929,Ethereum,5293.96,5421.55,5440.1,5185.11,2.02E+11,-139.2405724,42.44091139,-76.36094046,32.75648029,0
4544,20190929,Monero,1743.85,1800.8,1803.07,1704.4,1967406384,-166.6329816,36.59693458,-183.5366807,48.13167335,0
4545,20190930,Bitcoin,257508.01,251620.02,258140.24,243129.4,5.31E+11,-18064.45839,37.99288041,-158.5531116,65.59834399,0
4546,20190930,Ethereum,5584.67,5292.48,5584.67,5186.15,2.35E+11,-136.1937383,45.3811538,-52.84300634,25.39632592,0
4547,20190930,Monero,1764.04,1743.89,1776.01,1673.7,2319029219,-171.4238345,37.17064665,-165.6838695,49.95368226,0
4548,20191001,Bitcoin,259059.38,257706.98,263853.99,255625.34,4.75E+11,-17952.13761,38.46232626,-121.7385652,54.97334531,0
4549,20191001,Ethereum,5506.43,5595.51,5745.68,5459,2.38E+11,-138.4959196,44.74479236,-34.4902347,17.63214621,0
4550,20191001,Monero,1733.93,1765.84,1806.7,1729.58,2259611192,-175.6257411,36.6588932,-138.3373307,44.52838406,0
4551,20191002,Bitcoin,260503.55,258987.99,260503.55,255371.53,4.07E+11,-17544.34978,38.90773258,-110.0634946,55.11010957,0
4552,20191002,Ethereum,5608.9,5500.69,5612.49,5442.03,1.97E+11,-130.5470769,45.77498666,-37.39571669,18.20275979,0
4553,20191002,Monero,1740.02,1733.25,1760.27,1700.4,2337285421,-176.4305883,36.84083264,-128.3741984,46.49584485,0
4554,20191003,Bitcoin,256637.95,260701.36,261430.04,253109.79,4.25E+11,-17333.28924,38.143272,-102.9328897,56.37240743,0
4555,20191003,Ethereum,5443.44,5614.46,5617.43,5362.68,1.98E+11,-136.0307234,44.39245641,-49.65229894,20.9403475,0
4556,20191003,Monero,1748.35,1741.79,1769.57,1692.15,2644649229,-174.3860602,37.09649513,-113.7662619,44.74678149,0
4557,20191004,Bitcoin,253783.96,255440.25,255457.61,252092.18,4.06E+11,-17198.06678,37.57933952,-100.511921,56.95456795,0
4558,20191004,Ethereum,5473.59,5419.57,5522.06,5367.79,1.93E+11,-136.3716918,44.70725452,-52.17000512,20.9403475,0
4559,20191004,Monero,1783.51,1740.49,1793.57,1694.63,2583301442,-167.99213,38.18900031,-97.89824674,40.13139918,0
4560,20191005,Bitcoin,251799.85,253611.51,253777.6,249316.92,3.77E+11,-17054.41046,37.18397154,-96.3689719,58.5664014,0
4561,20191005,Ethereum,5447.5,5465.87,5489.56,5346.12,1.80E+11,-137.1659925,44.48183521,-56.56891297,21.75751558,0
4562,20191005,Monero,1745.31,1779.29,1787.24,1720.56,2454576234,-164.1154938,37.45781269,-90.95422112,40.13139918,0
4563,20191006,Bitcoin,246754.14,251749.7,252105.96,245848.9,4.07E+11,-17150.01375,36.18251771,-95.65520018,60.54014265,0
4564,20191006,Ethereum,5345.8,5447.9,5478.79,5291.45,1.81E+11,-144.3379832,43.59544615,-65.91082301,23.87935642,0
4565,20191006,Monero,1714.26,1745.17,1755.48,1703.07,2267350373,-161.6849043,36.86431612,-89.90436145,41.67994011,0
4566,20191007,Bitcoin,254592.33,246672.55,256532.19,244098.89,5.56E+11,-16404.20613,38.82998441,-81.46212782,50.7431829,0
4567,20191007,Ethereum,5594.32,5339.72,5630.45,5296.1,2.42E+11,-128.4872296,46.30049801,-43.52671215,14.65867996,0
4568,20191007,Monero,1746.12,1711.97,1766.68,1697.68,2583302745,-155.3964947,37.90859079,-80.51156465,39.21502706,0
4569,20191008,Bitcoin,253446.68,254003.13,256647.79,252121.65,4.80E+11,-15724.33229,38.58793623,-71.2422144,50.48679729,0
4570,20191008,Ethereum,5606.27,5578.29,5678.29,5517.31,2.30E+11,-113.6510297,46.42829679,-27.64412588,11.85137883,0
