Date	open	high	low	close	volume	MarketCap
May 26, 2019	NT$2,737.59	NT$2,903.26	NT$2,694.40	NT$2,896.47	NT$2,478,790,632	NT$49,254,210,927
May 25, 2019	NT$2,693.54	NT$2,759.60	NT$2,693.54	NT$2,738.98	NT$2,342,948,856	NT$46,570,542,598
May 24, 2019	NT$2,670.77	NT$2,751.40	NT$2,641.79	NT$2,698.18	NT$2,469,452,863	NT$45,871,458,863
May 23, 2019	NT$2,623.52	NT$2,679.98	NT$2,548.16	NT$2,661.91	NT$6,800,605,514	NT$45,249,474,831
May 22, 2019	NT$2,800.16	NT$2,869.68	NT$2,623.69	NT$2,627.32	NT$13,206,196,387	NT$44,655,919,098
May 21, 2019	NT$2,747.15	NT$2,901.67	NT$2,746.11	NT$2,794.27	NT$2,757,014,489	NT$47,488,250,513
May 20, 2019	NT$2,843.08	NT$2,843.93	NT$2,661.13	NT$2,749.15	NT$2,385,619,230	NT$46,715,887,994
May 19, 2019	NT$2,497.92	NT$2,854.85	NT$2,493.24	NT$2,843.71	NT$2,108,663,936	NT$48,317,254,849
May 18, 2019	NT$2,574.21	NT$2,601.68	NT$2,489.65	NT$2,497.59	NT$1,447,413,551	NT$42,431,760,081
May 17, 2019	NT$2,715.21	NT$2,725.80	NT$2,421.26	NT$2,558.42	NT$2,259,131,241	NT$43,459,898,246
May 16, 2019	NT$2,922.20	NT$3,010.13	NT$2,645.34	NT$2,706.80	NT$2,449,335,764	NT$45,975,001,470
May 15, 2019	NT$2,591.85	NT$2,941.16	NT$2,584.05	NT$2,930.90	NT$2,211,654,689	NT$49,775,692,623
May 14, 2019	NT$2,464.20	NT$2,627.67	NT$2,459.47	NT$2,585.37	NT$2,151,065,694	NT$43,902,331,153
May 13, 2019	NT$2,297.25	NT$2,527.64	NT$2,275.89	NT$2,450.23	NT$1,722,484,186	NT$41,597,390,858
May 12, 2019	NT$2,400.36	NT$2,467.36	NT$2,226.42	NT$2,296.96	NT$1,823,138,423	NT$38,995,195,169
May 11, 2019	NT$2,106.95	NT$2,466.93	NT$2,106.09	NT$2,401.55	NT$2,087,442,728	NT$40,766,159,985
May 10, 2019	NT$2,006.09	NT$2,121.51	NT$1,994.95	NT$2,111.48	NT$1,281,755,832	NT$35,838,210,986
May 09, 2019	NT$2,084.65	NT$2,108.48	NT$1,970.96	NT$2,002.44	NT$1,229,596,447	NT$33,983,280,726
May 08, 2019	NT$2,027.21	NT$2,086.91	NT$2,004.44	NT$2,084.05	NT$1,161,823,844	NT$35,364,031,887
May 07, 2019	NT$2,057.02	NT$2,158.27	NT$2,027.04	NT$2,027.17	NT$1,541,994,016	NT$34,394,721,597
May 06, 2019	NT$2,042.89	NT$2,082.23	NT$1,990.47	NT$2,058.06	NT$1,420,971,558	NT$34,914,743,295
May 05, 2019	NT$2,092.79	NT$2,113.34	NT$2,017.25	NT$2,040.03	NT$1,232,763,752	NT$34,604,487,809
May 04, 2019	NT$2,068.91	NT$2,110.19	NT$2,013.72	NT$2,092.86	NT$1,145,203,506	NT$35,496,641,404
May 03, 2019	NT$1,989.45	NT$2,114.19	NT$1,983.33	NT$2,071.54	NT$1,300,361,304	NT$35,130,543,824
May 02, 2019	NT$2,010.00	NT$2,035.69	NT$1,958.87	NT$1,991.84	NT$1,260,754,265	NT$33,774,754,827
May 01, 2019	NT$1,919.01	NT$2,007.94	NT$1,918.69	NT$2,007.38	NT$1,204,977,737	NT$34,033,938,545
Apr 30, 2019	NT$1,871.13	NT$1,922.20	NT$1,861.37	NT$1,919.14	NT$1,210,372,620	NT$32,534,139,720
Apr 29, 2019	NT$1,893.64	NT$1,910.47	NT$1,848.17	NT$1,871.77	NT$1,466,546,756	NT$31,727,509,130
Apr 28, 2019	NT$1,936.55	NT$1,948.83	NT$1,887.10	NT$1,893.05	NT$2,550,524,675	NT$32,075,200,207
Apr 27, 2019	NT$1,911.02	NT$1,963.97	NT$1,904.79	NT$1,933.88	NT$3,592,825,165	NT$32,747,667,988
Apr 26, 2019	NT$1,899.41	NT$1,972.31	NT$1,855.47	NT$1,920.56	NT$3,677,287,532	NT$32,522,135,249
Apr 25, 2019	NT$2,092.19	NT$2,098.83	NT$1,894.84	NT$1,895.44	NT$4,823,328,024	NT$32,096,804,277
Apr 24, 2019	NT$2,140.28	NT$2,186.85	NT$2,008.83	NT$2,089.20	NT$3,867,487,296	NT$35,377,800,241
Apr 23, 2019	NT$2,115.36	NT$2,190.85	NT$2,100.15	NT$2,138.99	NT$6,653,527,416	NT$36,221,048,017
Apr 22, 2019	NT$2,116.98	NT$2,137.58	NT$2,095.57	NT$2,114.09	NT$3,289,864,114	NT$35,799,384,858
Apr 21, 2019	NT$2,144.77	NT$2,160.25	NT$2,077.58	NT$2,117.97	NT$3,141,639,039	NT$35,865,113,861
Apr 20, 2019	NT$2,114.44	NT$2,165.01	NT$2,100.63	NT$2,142.82	NT$3,098,862,750	NT$36,281,826,144
Apr 19, 2019	NT$2,132.79	NT$2,144.13	NT$2,082.62	NT$2,114.27	NT$2,981,180,250	NT$35,794,091,503
Apr 18, 2019	NT$2,076.73	NT$2,152.82	NT$2,076.36	NT$2,128.60	NT$2,857,382,381	NT$36,032,369,836
Apr 17, 2019	NT$2,125.86	NT$2,159.77	NT$2,065.48	NT$2,082.76	NT$3,068,946,008	NT$35,251,861,606
Apr 16, 2019	NT$1,986.70	NT$2,164.62	NT$1,974.29	NT$2,126.83	NT$3,066,303,542	NT$35,993,517,654
Apr 15, 2019	NT$2,053.94	NT$2,068.43	NT$1,982.34	NT$1,984.95	NT$3,293,674,449	NT$33,588,339,783
Apr 14, 2019	NT$2,014.53	NT$2,075.83	NT$1,983.02	NT$2,053.71	NT$3,783,161,343	NT$34,747,319,193
Apr 13, 2019	NT$2,038.95	NT$2,063.66	NT$1,976.28	NT$2,014.91	NT$3,399,263,486	NT$34,086,799,791
Apr 12, 2019	NT$2,047.35	NT$2,197.11	NT$2,027.10	NT$2,040.29	NT$3,947,045,382	NT$34,511,747,266
Apr 11, 2019	NT$2,188.50	NT$2,195.32	NT$1,937.54	NT$2,047.16	NT$3,971,833,505	NT$34,623,611,595
Apr 10, 2019	NT$2,107.77	NT$2,210.71	NT$2,100.36	NT$2,188.44	NT$4,171,183,510	NT$37,008,616,651
Apr 09, 2019	NT$2,193.14	NT$2,196.42	NT$2,099.57	NT$2,108.61	NT$2,791,223,692	NT$35,654,031,603
Apr 08, 2019	NT$2,150.83	NT$2,233.52	NT$2,119.99	NT$2,189.96	NT$3,251,389,814	NT$37,025,118,338
Apr 07, 2019	NT$2,097.37	NT$2,159.01	NT$2,091.59	NT$2,150.26	NT$2,862,765,096	NT$36,349,200,851
Apr 06, 2019	NT$2,130.48	NT$2,159.52	NT$2,063.43	NT$2,097.43	NT$3,102,617,527	NT$35,451,831,014
Apr 05, 2019	NT$1,969.35	NT$2,131.29	NT$1,968.17	NT$2,130.68	NT$2,951,528,774	NT$36,009,443,949
Apr 04, 2019	NT$2,028.09	NT$2,059.97	NT$1,916.50	NT$1,969.11	NT$2,824,882,619	NT$33,274,370,314
Apr 03, 2019	NT$2,130.04	NT$2,230.84	NT$1,971.96	NT$2,026.65	NT$3,541,675,809	NT$34,242,763,819
Apr 02, 2019	NT$1,848.71	NT$2,152.75	NT$1,820.88	NT$2,129.28	NT$3,988,275,557	NT$35,972,129,656
Apr 01, 2019	NT$1,724.15	NT$1,850.91	NT$1,722.55	NT$1,850.41	NT$3,647,797,584	NT$31,256,745,113
Mar 31, 2019	NT$1,649.38	NT$1,743.23	NT$1,638.84	NT$1,724.34	NT$3,066,103,493	NT$29,123,475,792
Mar 30, 2019	NT$1,649.77	NT$1,740.09	NT$1,632.03	NT$1,649.21	NT$2,723,661,444	NT$27,851,033,869
Mar 29, 2019	NT$1,664.36	NT$1,669.84	NT$1,618.04	NT$1,650.80	NT$2,863,259,518	NT$27,874,461,924
Mar 28, 2019	NT$1,689.32	NT$1,690.16	NT$1,659.00	NT$1,664.38	NT$2,934,124,932	NT$28,100,093,972
Mar 27, 2019	NT$1,633.96	NT$1,697.76	NT$1,630.30	NT$1,688.64	NT$2,826,857,232	NT$28,506,252,175
Mar 26, 2019	NT$1,611.08	NT$1,636.51	NT$1,553.77	NT$1,632.73	NT$2,806,827,635	NT$27,558,904,335
Mar 25, 2019	NT$1,661.45	NT$1,670.18	NT$1,578.57	NT$1,616.41	NT$2,874,736,478	NT$27,279,901,400
Mar 24, 2019	NT$1,661.91	NT$1,673.12	NT$1,653.15	NT$1,659.79	NT$2,593,046,443	NT$28,008,473,854
Mar 23, 2019	NT$1,664.66	NT$1,679.05	NT$1,647.80	NT$1,662.75	NT$2,508,807,286	NT$28,054,787,298
Mar 22, 2019	NT$1,658.92	NT$1,671.52	NT$1,643.76	NT$1,661.27	NT$2,698,598,903	NT$28,026,118,234
Mar 21, 2019	NT$1,721.84	NT$1,721.93	NT$1,638.55	NT$1,656.46	NT$2,865,166,929	NT$27,941,636,186
Mar 20, 2019	NT$1,693.80	NT$1,747.80	NT$1,653.53	NT$1,721.41	NT$3,165,233,326	NT$29,033,160,574
Mar 19, 2019	NT$1,645.89	NT$1,697.56	NT$1,642.09	NT$1,685.23	NT$3,069,244,919	NT$28,419,343,453
Mar 18, 2019	NT$1,656.07	NT$1,668.83	NT$1,628.53	NT$1,653.00	NT$3,615,719,541	NT$27,872,099,140
Mar 17, 2019	NT$1,688.37	NT$1,691.62	NT$1,624.82	NT$1,652.26	NT$3,636,549,217	NT$27,856,406,521
Mar 16, 2019	NT$1,653.06	NT$1,709.02	NT$1,653.06	NT$1,686.21	NT$6,224,301,228	NT$28,424,859,234
Mar 15, 2019	NT$1,619.45	NT$1,659.31	NT$1,616.21	NT$1,657.96	NT$1,941,292,278	NT$27,944,851,962
Mar 14, 2019	NT$1,608.88	NT$1,635.76	NT$1,596.46	NT$1,618.18	NT$1,958,418,700	NT$27,270,864,124
Mar 13, 2019	NT$1,590.87	NT$1,617.16	NT$1,584.78	NT$1,608.10	NT$1,635,856,393	NT$27,097,567,069
Mar 12, 2019	NT$1,554.84	NT$1,591.13	NT$1,529.99	NT$1,591.13	NT$1,857,245,234	NT$26,808,228,812
Mar 11, 2019	NT$1,572.81	NT$1,575.30	NT$1,526.03	NT$1,552.59	NT$2,243,513,580	NT$26,154,809,019
Mar 10, 2019	NT$1,572.62	NT$1,576.71	NT$1,557.83	NT$1,574.66	NT$2,022,941,051	NT$26,524,476,168
Mar 09, 2019	NT$1,544.78	NT$1,588.52	NT$1,539.84	NT$1,569.69	NT$2,023,956,672	NT$26,440,137,639
Mar 08, 2019	NT$1,584.34	NT$1,588.97	NT$1,533.72	NT$1,546.71	NT$2,294,402,435	NT$26,050,412,820
Mar 07, 2019	NT$1,570.96	NT$1,607.09	NT$1,570.96	NT$1,574.07	NT$2,295,888,913	NT$26,507,978,178
Mar 06, 2019	NT$1,560.57	NT$1,570.13	NT$1,529.41	NT$1,568.43	NT$2,230,433,437	NT$26,409,478,295
Mar 05, 2019	NT$1,495.67	NT$1,560.90	NT$1,478.25	NT$1,558.84	NT$2,243,743,195	NT$26,244,500,971
Mar 04, 2019	NT$1,546.30	NT$1,556.92	NT$1,455.42	NT$1,496.11	NT$2,124,920,917	NT$25,185,149,614
Mar 03, 2019	NT$1,540.77	NT$1,550.85	NT$1,525.90	NT$1,545.77	NT$2,067,977,857	NT$26,017,591,510
Mar 02, 2019	NT$1,530.19	NT$1,544.26	NT$1,515.47	NT$1,542.00	NT$1,952,023,725	NT$25,950,575,180
Mar 01, 2019	NT$1,514.34	NT$1,546.34	NT$1,510.13	NT$1,527.90	NT$2,070,835,685	NT$25,709,983,872
Feb 28, 2019	NT$1,536.24	NT$1,545.91	NT$1,509.91	NT$1,512.40	NT$2,130,129,938	NT$25,445,695,465
Feb 27, 2019	NT$1,527.17	NT$1,538.49	NT$1,499.21	NT$1,538.03	NT$2,206,351,251	NT$25,873,651,766
Feb 26, 2019	NT$1,540.79	NT$1,540.79	NT$1,508.63	NT$1,519.56	NT$2,146,676,955	NT$25,559,332,663
Feb 25, 2019	NT$1,503.56	NT$1,543.95	NT$1,498.13	NT$1,540.51	NT$2,165,218,824	NT$25,908,342,871
Feb 24, 2019	NT$1,651.43	NT$1,748.01	NT$1,507.56	NT$1,507.56	NT$1,952,884,432	NT$25,350,744,133
Feb 23, 2019	NT$1,618.53	NT$1,655.40	NT$1,597.17	NT$1,655.29	NT$2,298,245,106	NT$27,831,338,402
Feb 22, 2019	NT$1,551.03	NT$1,624.20	NT$1,551.03	NT$1,622.11	NT$2,090,819,414	NT$27,269,991,445
Feb 21, 2019	NT$1,611.73	NT$1,611.73	NT$1,545.09	NT$1,553.79	NT$1,936,805,572	NT$26,117,362,981
Feb 20, 2019	NT$1,608.94	NT$1,620.87	NT$1,566.27	NT$1,604.64	NT$1,939,209,873	NT$26,968,935,786
Feb 19, 2019	NT$1,593.60	NT$1,652.55	NT$1,587.64	NT$1,613.46	NT$1,879,003,358	NT$27,113,571,380
Feb 18, 2019	NT$1,480.29	NT$1,610.38	NT$1,480.29	NT$1,593.70	NT$1,819,265,655	NT$26,777,845,831
Feb 17, 2019	NT$1,444.91	NT$1,483.70	NT$1,441.45	NT$1,481.82	NT$1,550,226,002	NT$24,894,538,054
Feb 16, 2019	NT$1,461.18	NT$1,493.28	NT$1,441.82	NT$1,446.40	NT$1,462,885,512	NT$24,296,085,813
Feb 15, 2019	NT$1,443.77	NT$1,500.35	NT$1,436.66	NT$1,462.83	NT$1,616,510,152	NT$24,568,808,914
Feb 14, 2019	NT$1,521.61	NT$1,531.34	NT$1,428.53	NT$1,445.79	NT$1,825,278,755	NT$24,279,231,531
Feb 13, 2019	NT$1,511.06	NT$1,563.10	NT$1,503.86	NT$1,519.62	NT$1,843,509,368	NT$25,515,661,704
Feb 12, 2019	NT$1,489.72	NT$1,526.24	NT$1,466.02	NT$1,515.26	NT$1,631,016,805	NT$25,439,220,967
Feb 11, 2019	NT$1,539.03	NT$1,539.03	NT$1,461.71	NT$1,488.43	NT$1,616,194,699	NT$24,985,401,494
Feb 10, 2019	NT$1,498.07	NT$1,536.37	NT$1,456.48	NT$1,536.34	NT$1,614,158,795	NT$25,784,576,903
Feb 09, 2019	NT$1,488.30	NT$1,503.29	NT$1,477.70	NT$1,497.12	NT$1,616,320,556	NT$25,124,488,499
Feb 08, 2019	NT$1,333.03	NT$1,527.24	NT$1,328.96	NT$1,483.10	NT$1,788,800,129	NT$24,885,556,876
Feb 07, 2019	NT$1,329.15	NT$1,348.48	NT$1,326.16	NT$1,330.98	NT$1,429,708,189	NT$22,330,109,044
Feb 06, 2019	NT$1,333.47	NT$1,333.47	NT$1,303.77	NT$1,326.36	NT$1,480,017,555	NT$22,249,697,863
Feb 05, 2019	NT$1,315.55	NT$1,338.81	NT$1,315.55	NT$1,334.53	NT$1,402,877,766	NT$22,383,682,054
Feb 04, 2019	NT$1,322.37	NT$1,326.92	NT$1,297.35	NT$1,317.15	NT$1,380,737,795	NT$22,088,763,265
Feb 03, 2019	NT$1,332.73	NT$1,345.76	NT$1,310.37	NT$1,320.47	NT$1,396,047,890	NT$22,141,533,928
Feb 02, 2019	NT$1,343.98	NT$1,348.20	NT$1,292.50	NT$1,335.36	NT$1,434,434,460	NT$22,388,119,864
Feb 01, 2019	NT$1,340.76	NT$1,357.16	NT$1,316.23	NT$1,342.34	NT$1,134,377,094	NT$22,501,829,593
